id_item,learning_area,type_item,bloom_taxonomy,theo_diff,stimulus_text,stimulus_image,answeroption_01,answeroption_02,answeroption_03,answeroption_04,answeroption_05,answeroption_06,answer_correct,type_stimulus,type_answer,if_answeroption_01,if_answeroption_02,if_answeroption_03,if_answeroption_04,if_answeroption_05,if_answeroption_06
1,Deskriptivstatistik,content,application,easy,"Eine Gymnasiallehrerin ist besorgt darüber, ob ihre Schüler*innern genug Schlaf bekommen. Sie bat deswegen alle Schüler*innen, die Anzahl der in der letzten Nacht geschlafenen Stunden anzugeben. Die Ergebnisse sind im Folgenden grafisch dargestellt.",www/reali_item01_stimulus.png,"Die Werte gehen von 3 bis 10, wobei sie bis 7 ansteigen und dann bis 10 abfallen. Die meisten Werte liegen bei 7. Zwischen den Werten 3 und 5 gibt es eine Lücke.","Die Verteilung ist normal, mit einem Mittelwert von etwa 7 und einer Standardabweichung von etwa 1.","Viele Schüler scheinen nachts 7 Stunden Schlaf zu bekommen, einige Schüler haben jedoch mehr und andere weniger geschlafen. Ein Schüler muss jedoch sehr lange aufgeblieben sein und hat nur sehr wenige Stunden Schlaf bekommen.","Die Verteilung der Schlafstunden ist einigermaßen normal, mit einem Ausreißer bei 3. Die typische Schlafdauer beträgt etwa 7 Stunden und die Standardabweichung liegt bei 1 Stunde.",NA,Frage überspringen.,4,image,text,"Falsch. Auch wenn die Beschreibung als solches richtig ist, verwendet sie rein umgangssprachliche Beschreibungen und nicht die gewünschte ""angemessene statistische Terminologie"". Auch fehlt die Einordnung in den Kontext.","Falsch. Während diese Beschreibung zwar die gewünschte ""angemessene statistische Terminologie"" beinhaltet, fehlt leider die Einordnung in den Kontext. Hier hören wir alle Mathelehrer*innen im Chor: ""Sieben was? Sieben Fußballfelder? Sieben Wassermelonen?"".","Falsch. Korrekte Beschreibung und Interpretation, aber es fehlt die gewünschte ""angemessene statistische Terminologie"".","Richtig! Die Daten werden in den eigentlichen Kontext der Erhebung gerückt und statistisch beschrieben, wie gewünscht.",NA,Alles klar! Du hast die Aufgabe übersprungen.
2,Deskriptivstatistik,content,comprehension,easy,"Abbildung A zeigt die Gewichte für eine Stichprobe von 26 Kieselsteinen, die jeweils auf das nächste Gramm genau gewogen wurden. Abbildung B zeigt die Mittelwerte der Gewichte für 39 Zufallsstichproben von je 3 Kieselsteinen, wobei alle Mittelwerte auf das nächste Gramm gerundet sind. In jeder Verteilung ist ein Wert eingekreist. Gibt es einen Unterschied zwischen dem eingekreisten Punkt in Abbildung A und dem eingekreisten Punkt in Abbildung B? Bitte wählen Sie die beste Antwort aus der folgenden Liste aus.",www/reali_item02_stimulus.png,"Nein, sowohl in Abbildung A als auch in Abbildung B steht der eingekreiste Punkt für dasselbe Maß, nämlich für ein Gewicht von 6 Gramm.","Ja, in Abbildung A gibt es nur vier Punkte mit einem Gewicht von 6, aber in Abbildung B gibt es neun Punkte mit einem Gewicht von 6.","Ja, der eingekreiste Punkt in Abbildung A ist das Gewicht eines einzelnen Kieselsteins, während der eingekreiste Punkt in Abbildung B das durchschnittliche Gewicht von 3 Kieselsteinen darstellt.",NA,NA,Frage überspringen.,3,image,text,"Falsch. Diese Antwort ist inkorrekt, da in Abbildung A der eingekreiste Punkt das exakte Gewicht eines einzelnen Kieselsteins darstellt, wohingegen in Abbildung B der eingekreiste Punkt das durchschnittliche Gewicht eines Kieselsteins berechnet auf 3 Kieselsteinen repräsentiert.","Falsch. Dies ist für die Bedeutung des eingekreisten Punktes irrelevant, weshalb diese Antwort falsch ist. Der Unterschied in den beiden Abbildungen liegt in der Bedeutung bzw. dem Ursprung eines Punktes sozusagen. Während in Abbildung A das exakte Gewicht eines Kieselsteins einen Punkt erzeugt, ist es in Abbildung B das gerundete, durchschnittliche Gewicht von 3 Kieselsteinen.","Richtig! Der Unterschied in den beiden Abbildungen liegt in der Bedeutung bzw. dem Ursprung eines Punktes sozusagen. Während in Abbildung A das exakte Gewicht eines Kieselsteins einen Punkt erzeugt, ist es in Abbildung B das gerundete, durchschnittliche Gewicht von 3 Kieselsteinen.",NA,NA,Alles klar! Du hast die Aufgabe übersprungen.
3,Deskriptivstatistik,content,application,easy,"Eine Lehrkraft erfasst die Zeit, die ihre Schüler*innen für eine bestimmte Prüfung benötigt haben (in Minuten). Diese Zeiten sind in der folgenden Tabelle aufgeführt (siehe unten). Jedes der folgenden Diagramme stellt eine valide Darstellung der für die Bearbeitung der Prüfung benötigten Zeit dar. Welches der Diagramme ist die geeignetste Darstellung der Verteilung der Zeiten, insofern als das Diagramm der Lehrkraft ermöglicht, die Form der Verteilung, das Zentrum und die Variabilität der Bearbeitungszeiten zu beschreiben?",www/reali_item03_stimulus.png,www/reali_item03_answeropt1.png,www/reali_item03_answeropt2.png,www/reali_item03_answeropt3.png,www/reali_item03_answeropt4.png,NA,www/skip.png,3,image,image,"Falsch. Diese Abbildung zeigt die Schüler*innen zufällig verteilt auf der Y-Achse und die Prüfungsminuten auf der X-Achse. Besser wäre es gewesen, die Minuten auf der Y-Achse und die Anzahl der Schüler*innen auf der X-Achse darzustellen, die diese Zeit benötigt haben. Bei einer solchen Abbildung handelt es sich um ein Histogramm, welches trotz der gröberen Kategorisierung die besten Aussagen über die Verteilung der Bearbeitungszeiten unter den Schüler*innen zulässt.","Falsch. Auch wenn es auf den ersten Blick so wirkt, als ob die Prüfungszeiten der Schüler*innen normalverteilt wären, ist dies ein Trugschluss. Normalverteilung der Daten bedeutet, dass extremere Prüfungszeiten, wie sehr kurz oder sehr lang eher selten auftreten und die meisten Schüler*innen eine mittlere Prüfungszeit benötigen, die dann zu der klassischen Glockenform führt. Dies ist hier so aber nicht der Fall, denn die Person mit der längsten Prüfungszeit, die in einer Normalverteilung am äußeren Rand zu finden wäre, hier mit 34.1 Minuten in die Mitte gesetzt wurde. Dies war möglich, weil es sich bei den Codes der Schüler*innen um nominalskalierte Variablen handelt, die beliebig sortiert werden können.","Korrekt! Die Prüfungsminuten sind auf der X-Achse und auf der Y-Achse sind die Häufigkeiten abgebildet, also wie viele Schüler*innen diese Zeit an Minuten benötigt haben. Aus der Abbildung geht hervor, dass es sich um eine bimodale Verteilung handelt. Bei einer solchen Abbildung handelt es sich um ein Histogramm, welches trotz der gröberen Kategorisierung die besten Aussagen über die Verteilung der Bearbeitungszeiten unter den Schüler*innen zulässt.","Falsch. Auch wenn durch die aufsteigende Darstellung der Prüfungszeit über Schüler*innen hinweg man den Median ablesen könnte, kann nicht direkt die Form der Verteilung ablesen.",NA,Alles klar! Du hast die Aufgabe übersprungen.
4,Deskriptivstatistik,content,application,easy,"Eine Dozentin gab den Studierenden eine Umfrage zur Einführung in die Statistik. Eine der Fragen lautete: ""Bewerten Sie Ihre Zuversicht, dass Sie in diesem Kurs erfolgreich sein werden, auf einer Skala von 1 bis 10"", wobei 1 = geringste Zuversicht und 10 = höchste Zuversicht. Nach der Auswertung der Antworten der Studierenden interpretierte die Dozentin die Daten wie folgt: ""Die Mehrheit der Studierenden in der Vorlesung glaubt nicht, dass sie in Statistik erfolgreich sein werden, obwohl einige wenige zuversichtlich sind, es zu schaffen."" Die Dozentin bat zwei ihrer Studierenden, eine grafische Darstellung der Daten auf der Grundlage ihrer obigen Interpretation zu erstellen. Beth erstellte einen Dotplot und Allan einen Boxplot. Welches Dotplot/Boxplot-Paar entspricht am ehesten der Beschreibung der Dozentin?",NA,www/reali_item04_answeropt1.png,www/reali_item04_answeropt2.png,www/reali_item04_answeropt3.png,www/reali_item04_answeropt4.png,NA,www/skip.png,4,text,image,"Falsch. Hier haben sowohl Beth als auch Allen fälschlicherweise Daten dargestellt, in denen die Studierenden eine hohe Zuversicht haben, in Statistik erfolgreich zu sein.","Falsch. Während Beth Daten dargestellt hat, in denen die Studierenden wenig Zuversicht haben, hat Allen fälschlicherweise Daten dargestellt, in denen die Studierenden viel Zuversicht haben.","Falsch. Während Beth flälchlicherweise Daten dargestellt hat, in denen die Studierenden viel Zuversicht haben, hat Allen Daten dargestellt, in denen die Studierenden wenig Zuversicht haben.","Richtig! Sowohl Beth als auch Allen haben Daten dargestellt, in denen die Studierenden wenig Zuversicht haben.",NA,Alles klar! Du hast die Aufgabe übersprungen.
5,Deskriptivstatistik,content,application,easy,Welches der folgenden Intervalle enthält am ehesten den Mittelwert der folgenden Verteilung?,www/reali_item05_stimulus.png,4 bis 6,7 bis 9,10 bis 12,NA,NA,Frage überspringen.,2,image,text,"Falsch. Wir haben Werte auf einer Skala von 0 bis 12 vorliegen, der Mittelwert dieser Skala liegt bei 6. Dies bedeutet, wären alle Werte gleich (uniform) verteilt, läge der Mittelwert bei 6. Damit der Mittelwert zwischen 4 und 6 liegt, müsste die Verteilung linkssteil/rechtsschief sein, also mehr Daten in der unteren Hälfte. Das Gegenteil ist jedoch der Fall. Daher liegt der Mittelwert höher als 6.","Richtig! Wir haben es mit einer rechtssteilen/linksschiefen Verteilung zu tun, bei der der Mittelwert unterhalb des Modus liegt. Den Modus können wir ablesen, mit ca. 9,5. Daher muss der Mittelwert richtigerweise darunter liegen.","Falsch. Wir haben es mit einer rechtssteilen/linksschiefen Verteilung zu tun, bei der der Mittelwert unterhalb des Modus liegt. Den Modus können wir ablesen, mit ca. 9,5. Daher muss der Mittelwert darunter liegen und kann nicht darüber zwischen 10 und 12 liegen.",NA,NA,Alles klar! Du hast die Aufgabe übersprungen.
6,Deskriptivstatistik,content,comprehension,medium,Laut einer bundesweiten Umfrage unter Hundehalter:innen belaufen sich die durchschnittlichen Kosten für die Anschaffung eines großen Hundes im ersten Jahr auf 1.700 €. Welche der folgenden Aussagen ist die beste Interpretation des Mittelwerts?,NA,Für alle Hundehalter:innen in dieser Stichprobe liegen die durchschnittlichen Kosten für den Besitz eines großen Hundes im ersten Jahr bei 1.700 €.,Für alle Hundehalter:innen in der Grundgesamtheit liegen die durchschnittlichen Kosten für einen großen Hund im ersten Jahr bei 1.700 €.,Von allen Hundehalter:innen in dieser Stichprobe lag etwa die Hälfte über 1.700 € und etwa die Hälfte unter 1.700 €.,Für die meisten Hundehalter:innen liegen die Kosten für die Anschaffung eines großen Hundes im ersten Jahr bei 1.700 €.,NA,Frage überspringen.,1,text,text,Richtig!,"Falsch. Aus der Beschreibung geht weder hervor, dass die Grundgesamtheit komplett befragt wurde, noch dass der Mittelwert der Grundgesamtheit geschätzt wurde.","Falsch. Dies träfe zu, wenn 1.700 Euro der Median wäre, es ist aber der Mittelwert.","Falsch. Dies träfe zu, wenn 1.700 der Modus wäre, es ist aber der Mittelwert.",NA,Alles klar! Du hast die Aufgabe übersprungen.
7,Deskriptivstatistik,content,comprehension,medium,"Im Jahr 2011 wurde berichtet, dass der Mittelwert des Immobilienpreises in den Hamptons (New York) innerhalb eines Jahres um 20% gestiegen ist, während der Median des Immobilienpreises im selben Jahr um 2% gesunken ist. Welche der folgenden Erklärungen ist die beste für dieses Phänomen?",NA,"Der Preis der meisten Häuser in den Hamptons sank, und in diesem Jahr wurden mehr Häuser in den Hamptons verkauft.","Den Berichterstattern ist bei der Darstellung der Ergebnisse ein Fehler unterlaufen; wenn der Mittelwert der Hauspreise steigt, muss auch der Median der Hauspreise steigen.","Die meisten Häuser in den Hamptons sind im Preis gesunken, und bei einer kleinen Anzahl von Häusern ist der Preis stark gestiegen.",NA,NA,Frage überspringen.,3,text,text,"Falsch. Nach dieser Erklärung hätte auch der Mittelwert sinken müssen. Der Mittelwert stieg aber und somit muss es auch Hauspreise gegeben haben, die gestiegen sind. Darauf wird in dieser Erklärung nicht eingegangen.","Falsch. Auch wenn Mittelwert und Median artverwandt sind, so gibt es keine absoluten Abhängigkeiten zwischen ihnen, wie in dieser Erklärung formuliert. Diese Erklärung beinhaltet somit *Fake News*.","Richtig! Dieses Beispiel verdeutlicht, wie anfällig der Mittelwert für Ausreißer ist.",NA,NA,Alles klar! Du hast die Aufgabe übersprungen.
8,Deskriptivstatistik,content,comprehension,medium,"In einer Studie wurde die Länge einer bestimmten Fischart aus einem See untersucht. Eine Zufallsstichprobe von 1000 Fischen verzeichnete einen Mittelwert von 52,2 mm und einen Median von 57,4 mm. Welches der folgenden Histogramme repräsentiert am ehesten die Daten aus dieser Studie?",NA,www/reali_item08_answeropt1.png,www/reali_item08_answeropt2.png,www/reali_item08_answeropt3.png,NA,NA,www/skip.png,3,text,image,"Falsch. Der Mittelwert ist kleiner als der Median, was auf eine linksschiefe/rechtssteile Verteilung hindeutet. In dieser Abbildung ist es umgekehrt, der Mittelwert ist größer als der Median.","Falsch. Der Mittelwert ist kleiner als der Median, was auf eine linksschiefe/rechtssteile Verteilung hindeutet. Hier sind die Daten ansatzweise normalverteilt, wodurch Mittelwert und Median vergleichbar sind.","Richtig! Der Mittelwert ist kleiner als der Median, was auf eine linkssteile/rechtsschiefe Verteilung hindeutet, wie sie auch in dieser Abbildung zu finden ist.",NA,NA,Alles klar! Du hast die Aufgabe übersprungen.
9,Deskriptivstatistik,content,knowledge,easy,Dreißig Studierende im Fach Statistik nahmen an einem Quiz mit insgesamt 30 Punkten teil. Die Standardabweichung der Quizergebnisse betrug 1 Punkt. Welche der folgenden Aussagen ist die geeignetste Interpretation dieser Standardabweichung?,NA,Alle Einzelwertungen liegen einen Punkt auseinander.,Die Differenz zwischen der höchsten und der niedrigsten Punktzahl beträgt 1 Punkt.,Die Differenz zwischen dem oberen und dem unteren Quartil beträgt 1 Punkt.,Ein typischer Abstand einer Punktzahl vom Mittelwert ist 1 Punkt.,NA,Frage überspringen.,4,text,text,Falsch. Diese Information lässt sich aus der Standardabweichung nicht direkt ablesen.,"Falsch. Dies ist der Bereich, in dem die Daten aufgetreten sind.",Falsch. Dies wäre der Interquartilsbereich.,Richtig!,NA,Alles klar! Du hast die Aufgabe übersprungen.
10,Deskriptivstatistik,content,knowledge,easy,"Ein Dozent stellt einen Test mit 15 Fragen. Für jede Frage erhalten die Studierenden einen Punkt für eine richtige Antwort; 0 Punkte für keine Antwort; und verlieren einen Punkt für eine falsche Antwort. Die Gesamtpunktzahl des Tests kann zwischen -15 Punkten und +15 Punkten liegen. Der Dozent berechnet die Standardabweichung der Testergebnisse auf -2,30. Was können man daraus schließen?",NA,Die Standardabweichung wurde falsch berechnet.,Die meisten Schüler:innen haben negative Werte erhalten.,Die meisten Schüler:innen haben weniger als den Mittelwert erreicht.,Keine der oben genannten Möglichkeiten.,NA,Frage überspringen.,1,text,text,Richtig! Eine Standardabweichung kann nicht negativ sein.,"Falsch. Selbst wenn, eine Standardabweichung kann nicht negativ sein.","Falsch. Selbst wenn, eine Standardabweichung kann nicht negativ sein.",Falsch. Eine Standardabweichung kann nicht negativ sein.,NA,Alles klar! Du hast die Aufgabe übersprungen.
